;;;;;;;;;;;;;;;;;;;;
PNAD Covid;;;;;;;;;;;;;;;;;;;;
Periodicidade da divulgação: Mensal;;;;;;;;;;;;;;;;;;;;
Nota:os indicadores de mercado de trabalho são para as pessoas de 14 anos ou mais de idade e tem como referência a semana anterior a entrevista;;;;;;;;;;;;;;;;;;;;
Nota 1: Inclusive pessoas de cor amarela ou indígena.;;;;;;;;;;;;;;;;;;;;
Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Julho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro;
;;;;;;;;Maio;;;;Maio;Maio;Maio;Maio;Maio;Maio;Maio;Maio;
População Residente (mil pessoas);País;Brasil;Sexo;Total;-;-;  210 869 ;  211 001 ; - ;  211 131 ; - ;  211 262 ; - ;  211 392 ; - ;  211 523 ; - ;  211 652 ; - ;
População Residente (mil pessoas);País;Brasil;Sexo;Homem;-;-;  103 090 ;  103 153 ; - ;  103 215 ; - ;  103 278 ; - ;  103 340 ; - ;  103 402 ; - ;  103 463 ; - ;
População Residente (mil pessoas);País;Brasil;Sexo;Mulher;-;-;  107 779 ;  107 848 ; - ;  107 916 ; - ;  107 985 ; - ;  108 053 ; - ;  108 121 ; - ;  108 189 ; - ;
População Residente (mil pessoas);País;Brasil;Cor ou raça;Total1;-;-;  210 869 ;  211 001 ; - ;  211 131 ; - ;  211 262 ; - ;  211 392 ; - ;  211 523 ; - ;  211 652 ; - ;
População Residente (mil pessoas);País;Brasil;Cor ou raça;Branca;-;-;  92 967 ;  92 802 ; - ;  92 840 ; - ;  93 249 ; - ;  93 348 ; - ;  93 448 ; - ;  93 550 ; - ;
População Residente (mil pessoas);País;Brasil;Cor ou raça;Preta ou parda;-;-;  115 475 ;  115 950 ; - ;  115 984 ; - ;  115 779 ; - ;  115 849 ; - ;  115 895 ; - ;  115 868 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;Total;-;-;  210 869 ;  211 001 ; - ;  211 131 ; - ;  211 262 ; - ;  211 392 ; - ;  211 523 ; - ;  211 652 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;0 a 13 anos ;-;-;  40 976 ;  40 855 ; - ;  40 923 ; - ;  40 950 ; - ;  40 862 ; - ;  40 922 ; - ;  40 911 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;14 a 29 anos ;-;-;  52 947 ;  53 020 ; - ;  52 906 ; - ;  52 831 ; - ;  52 871 ; - ;  52 767 ; - ;  52 729 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;30 a 49 anos ;-;-;  63 203 ;  63 258 ; - ;  63 312 ; - ;  63 364 ; - ;  63 417 ; - ;  63 468 ; - ;  63 521 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;50 a 59 anos ;-;-;  23 759 ;  23 792 ; - ;  23 823 ; - ;  23 854 ; - ;  23 884 ; - ;  23 914 ; - ;  23 944 ; - ;
População Residente (mil pessoas);País;Brasil;Grupos de idade população;60 anos ou mais ;-;-;  29 983 ;  30 076 ; - ;  30 167 ; - ;  30 263 ; - ;  30 359 ; - ;  30 452 ; - ;  30 548 ; - ;
População Residente (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;  210 869 ;  211 001 ; - ;  211 131 ; - ;  211 262 ; - ;  211 392 ; - ;  211 523 ; - ;  211 652 ; - ;
População Residente (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;  86 278 ;  87 099 ; - ;  87 294 ; - ;  87 391 ; - ;  87 479 ; - ;  87 529 ; - ;  87 452 ; - ;
